,aircraft,travellers_type,Seat_type,route,date_flown
904,Boeing 777,Business,Business Class,Brussels to Bangkok via London,November 2019
905,Boeing 777-200,Business,Economy Class,San Francisco to Oslo via London,November 2019
906,,Couple Leisure,Economy Class,Los Angeles to Berlin via London,November 2019
907,A380,Couple Leisure,Business Class,London to Johannesburg,November 2019
908,,Business,Premium Economy,London to Bangalore,November 2019
909,,Solo Leisure,Economy Class,London to Sydney via Singapore,November 2019
910,,Solo Leisure,Economy Class,Lisbon to London,November 2019
911,,Solo Leisure,Economy Class,London Heathrow to Glasgow,November 2019
912,Boeing 787-9,Family Leisure,Economy Class,doha to londonDoha to London,November 2019
913,,Family Leisure,Economy Class,London to Buenos Aires,November 2019
914,A380,Couple Leisure,Economy Class,San Francisco to London,November 2019
915,Boeing 777-300,Business,Business Class,Sydney to Singapore,November 2019
916,Boeing 777,Family Leisure,Economy Class,London to Mauritius,November 2019
917,,Business,Business Class,Los Angeles to Amsterdam via London,November 2019
918,Boeing 747-400,Solo Leisure,Economy Class,London to Vancouver,November 2019
919,Boeing 747-400,Couple Leisure,Economy Class,New York to Paris via London,November 2019
920,A320,Couple Leisure,Business Class,London Heathrow to Lisbon,November 2019
921,Boeing 777,Solo Leisure,Economy Class,London to Boston,November 2019
922,A320,Business,Economy Class,Tirana to London,November 2019
923,Boeing 747-400,Solo Leisure,Economy Class,Gatwick to St Lucia,November 2019
924,,Family Leisure,Economy Class,London to Singapore,November 2019
925,,Solo Leisure,Economy Class,London to San Francisco,November 2019
926,A320,Couple Leisure,Business Class,Gatwick to Venice,September 2019
927,,Couple Leisure,Economy Class,Bordeaux to Gatwick,September 2019
928,Boeing 787-9,Couple Leisure,Business Class,Seychelles to London,October 2019
929,A320,Couple Leisure,Economy Class,London to Belfast,October 2019
930,,Business,Premium Economy,London to Cape Town,October 2019
931,Boeing 787,Couple Leisure,Business Class,San Jose to London,October 2019
932,A321neo,Solo Leisure,Economy Class,London Heathrow to Edinburgh,October 2019
933,Boeing 777-200,Family Leisure,Economy Class,Gatwick to Barbados,October 2019
934,Boeing 777,Couple Leisure,Economy Class,Toronto to London,October 2019
935,,Solo Leisure,Economy Class,Jeddah to London,October 2019
936,,Business,Economy Class,Zurich to London,October 2019
937,A380,Couple Leisure,Business Class,San Francisco to London,October 2019
938,A319,Solo Leisure,Business Class,London to Belfast,October 2019
939,,Couple Leisure,Economy Class,London Gatwick to Salzburg,April 2019
940,,Business,Economy Class,Frankfurt to London,October 2019
941,,Business,Economy Class,Hyderabad to San Francisco via London,October 2019
942,Boeing 747-400,Business,Business Class,Vancouver to London,October 2019
943,A320,Solo Leisure,Economy Class,London to Malaga,October 2019
944,A320,Business,Economy Class,Brussels to London,October 2019
945,Boeing 777,Couple Leisure,Premium Economy,London to Singapore,October 2019
946,Boeing 787,Solo Leisure,Premium Economy,Kuala Lumpur to Glasgow via London,October 2019
947,Boeing 787-900,Couple Leisure,Business Class,London Heathrow to Seychelles,October 2019
948,,Couple Leisure,Economy Class,Edinburgh to London Heathrow,October 2019
949,A321,Couple Leisure,Economy Class,Amman to London,September 2019
950,A320,Business,Economy Class,London to Athens,October 2019
951,Boeing 777,Couple Leisure,Economy Class,New York JFK to London,October 2019
952,Boeing 777-200,Couple Leisure,Premium Economy,Buenos Aires to London Heathrow,September 2019
953,"Boeing 787-9, A320-200",Solo Leisure,Economy Class,Mexico City to Barcelona via London Heathrow,September 2019
954,A319,Couple Leisure,Economy Class,Bari to London Gatwick,September 2019
955,Boeing 787,Couple Leisure,Premium Economy,Abu Dhabi to London Heathrow,September 2019
956,Boeing 787-900,Couple Leisure,Economy Class,London Heathrow to Abu Dhabi,October 2019
957,,Couple Leisure,Economy Class,Johannesburg to Amsterdam via London,September 2019
958,A350,Business,Business Class,Dubai to London Heathrow,September 2019
959,,Solo Leisure,Economy Class,Istanbul to New York via London,October 2019
960,,Couple Leisure,Economy Class,Rome to London Heathrow,October 2019
961,A320,Business,Economy Class,London to Athens,October 2019
962,A320,Solo Leisure,Economy Class,London Heathrow to Newcastle,October 2019
963,,Solo Leisure,Economy Class,Calgary to Gothenburg via London,September 2019
964,Boeing 787-9,Family Leisure,Economy Class,Kuala Lumpur to London,October 2019
965,Boeing 747,Couple Leisure,Business Class,Austin to London,October 2019
966,Boeing 787,Couple Leisure,Premium Economy,London to Kuala Lumpur,August 2019
967,,Couple Leisure,Premium Economy,Newark to Madrid via London,October 2019
968,,Couple Leisure,Business Class,Kos to Gatwick,October 2019
969,A320,Business,Business Class,Gatwick to Alicante,September 2019
970,A380,Solo Leisure,Premium Economy,Vancouver to London,September 2019
971,,Couple Leisure,Economy Class,Gatwick to Alicante,September 2019
972,Boeing 747,Couple Leisure,Business Class,London Heathrow to Austin,September 2019
973,Boeing 747,Couple Leisure,Business Class,London Heathrow to Austin,September 2019
974,,Couple Leisure,Economy Class,London Gatwick to Jersey,September 2019
975,A320,Couple Leisure,Business Class,Cephalonia to London,September 2019
976,A380,Family Leisure,Economy Class,Chicago to Zurich via London,August 2019
977,,Solo Leisure,Business Class,Glasgow to London,September 2019
978,A321,Solo Leisure,Economy Class,London Heathrow to Berlin Tegel,September 2019
979,,Couple Leisure,Business Class,London to Milan,September 2019
980,EMB190,Business,Economy Class,London to Geneva,September 2019
981,,Couple Leisure,Business Class,Los Angeles to Istanbul via London,September 2019
982,,Family Leisure,Premium Economy,Phoenix to Tel Aviv via London,August 2019
983,A320,Couple Leisure,Business Class,London to Kefalonia,September 2019
984,,Solo Leisure,Economy Class,London to Dublin,September 2019
985,,Couple Leisure,Business Class,Hong Kong to London,September 2019
986,,Couple Leisure,Economy Class,Gatwick to Seville,September 2019
987,Boeing 777-200,Business,Economy Class,London Heathrow to Abuja Nigeria,September 2019
988,Boeing 777-300,Solo Leisure,Economy Class,London to Bangkok,September 2019
989,Boeing 747-400,Couple Leisure,Business Class,Belfast to San Francisco via London,August 2019
990,A319,Couple Leisure,Economy Class,London to Gothenburg,September 2019
991,,Family Leisure,Business Class,Orlando to Gatwick,July 2019
992,Boeing 787 / A320,Solo Leisure,Business Class,Mahe to Stockholm via London,September 2019
993,A319 / Boeing777,Couple Leisure,Business Class,Glasgow to Tampa via Gatwick,September 2019
994,Boeing 777-200,Family Leisure,Economy Class,Orlando to Gatwick,September 2019
995,Boeing 787,Family Leisure,Economy Class,London to Abu Dhabi,August 2019
996,A320,Couple Leisure,Business Class,London to St Petersburgh,August 2019
997,Boeing 777,Business,Premium Economy,Sydney to London via Singapore,May 2019
998,A380,Couple Leisure,Business Class,London to Johannesburg,September 2019
999,,Family Leisure,Business Class,Palma de Mallorca to London Heathrow,August 2019
1000,,Family Leisure,Economy Class,Chennai to London,August 2019
1001,,Solo Leisure,Economy Class,Edinburgh to Kuala Lumpur via London,July 2019
1002,,Business,Business Class,London City to Amsterdam,July 2019
1003,,Solo Leisure,Economy Class,Dublin to Mauritius via London,February 2019
1004,Boeing 777-200,Family Leisure,First Class,London to Shanghai,August 2019
1005,,Business,Business Class,Chicago to Heathrow via Barcelona,August 2019
1006,,Family Leisure,Economy Class,New Orleans to London,November 2018
1007,Boeing 747,Family Leisure,Premium Economy,Boston to Copenhagen via London,June 2019
1008,,Couple Leisure,Economy Class,Hong Kong to Copenhagen via London,August 2019
1009,Boeing 777-200,Business,Business Class,London Gatwick to San Jose Costa Rica,July 2019
1010,Boeing 777,Solo Leisure,Economy Class,London to Dubai,August 2019
1011,"A340-300, A320",Family Leisure,Business Class,Toronto to Pisa London Heathrow,August 2019
1012,A320,Family Leisure,Economy Class,London Heathrow to Venice Marco Polo,August 2019
1013,,Couple Leisure,Premium Economy,Chicago to London,August 2019
1014,A321neo,Family Leisure,Economy Class,London to Larnaca,August 2019
1015,Boeing 777-200,Family Leisure,Economy Class,Gatwick to Orlando,July 2019
1016,A320,Family Leisure,Economy Class,London to Munich,August 2019
1017,,Business,Economy Class,London to Glasgow,June 2019
1018,,Business,Business Class,London to Hong Kong,August 2019
1019,A320,Solo Leisure,Economy Class,Vienna to Heathrow,July 2019
1020,A321,Couple Leisure,Business Class,Malaga to London,August 2019
1021,,Couple Leisure,Business Class,Sydney to Singapore,August 2019
1022,,Solo Leisure,Economy Class,London Heathrow to Inverness,August 2019
1023,,Solo Leisure,Economy Class,Heathrow to Glasgow,August 2019
1024,,Solo Leisure,Economy Class,Inverness to Vancouver via London,August 2019
1025,,Couple Leisure,Economy Class,London Heathrow to Brussels,August 2019
1026,,Solo Leisure,Economy Class,London to Nice,August 2019
1027,A320,Couple Leisure,Business Class,Palma to London Heathrow,August 2019
1028,,Couple Leisure,Economy Class,London City to Ibiza,August 2019
1029,,Family Leisure,Economy Class,London to Faro,August 2019
1030,,Couple Leisure,Economy Class,Calgary to London,July 2019
1031,A321-200,Family Leisure,Economy Class,London Heathrow to Sofia,July 2019
1032,,Solo Leisure,Business Class,Nice to Kuwait via London,July 2019
1033,Boeing 777,Couple Leisure,Economy Class,Buenos Aires to London Heathrow,July 2019
1034,Boeing 777-300ER,Family Leisure,Economy Class,Hong Kong to London,July 2019
1035,,Business,Premium Economy,London Heathrow to Las Vegas,July 2019
1036,A320,Solo Leisure,Business Class,London Heathrow to Malaga,July 2019
1037,B777-200,Business,Economy Class,London to Delhi,June 2019
1038,,Solo Leisure,Economy Class,Seattle to Durban via London,July 2019
1039,Boeing 747-400,Family Leisure,Economy Class,London Heathrow to Austin,July 2019
1040,A320,Business,Business Class,Mykonos to London,July 2019
1041,Boeing 737-800,Family Leisure,Economy Class,Johannesburg OR Tambo to Cape Town,July 2019
1042,Boeing 777-200,Family Leisure,Economy Class,Grenada to Gatwick,July 2019
1043,,Family Leisure,Economy Class,Prague to London,July 2019
1044,Boeing 777,Solo Leisure,Premium Economy,London to Dubai,July 2019
1045,,Family Leisure,Economy Class,Tel Aviv to Toronto via London,July 2019
1046,A321,Solo Leisure,Business Class,Heathrow to Manchester,July 2019
1047,A320,Solo Leisure,Business Class,Brussels to Larnaca via London,June 2019
1048,A320,Couple Leisure,Business Class,Stockholm to London,July 2019
1049,,Business,Business Class,Toronto to London,July 2019
1050,Boeing 737,Family Leisure,Premium Economy,Orlando to London,July 2019
1051,A320,Couple Leisure,Business Class,Lisbon to London,July 2019
1052,A320,Solo Leisure,Economy Class,Heathrow to Marseille,September 2018
1053,A320,Business,Business Class,Madrid to London,July 2019
1054,,Family Leisure,Economy Class,Gatwick to Glasgow,July 2019
1055,,Couple Leisure,Economy Class,Frankfurt to London,July 2019
1056,,Couple Leisure,Economy Class,London to Olbia,July 2019
1057,,Solo Leisure,Economy Class,Rotterdam to London City,July 2019
1058,A320 neo,Business,Economy Class,Dublin to London,July 2019
1059,B777-200,Couple Leisure,Economy Class,Barbados to Gatwick,July 2019
1060,A380,Solo Leisure,Economy Class,London Heathrow to Singapore,June 2019
1061,A321,Business,Economy Class,Madrid to London Heathrow,June 2019
1062,,Solo Leisure,Economy Class,London Heathrow to Oslo,June 2019
1063,A319 / Boeing 789,Business,Economy Class,Hamburg to Abu Dhabi via London Heathrow,June 2019
1064,Boeing 777-200 and A319,Solo Leisure,Economy Class,New York to Glasgow via London,June 2019
1065,,Family Leisure,Economy Class,London Heathrow to New York,June 2019
1066,Boeing 777-200,Family Leisure,Business Class,Gatwick to Bermuda,June 2019
1067,A320,Couple Leisure,Business Class,London Heathrow to Larnaca,June 2019
1068,A320-200,Couple Leisure,Economy Class,Gatwick to Cagliari,June 2019
1069,A320,Couple Leisure,Economy Class,Heathrow to Kalamata,June 2019
1070,,Business,Economy Class,London to Gothenburg,June 2019
1071,A320,Solo Leisure,Economy Class,Amsterdam to London,February 2019
1072,A321 Neo,Business,Economy Class,Istanbul to London,June 2019
1073,A321 / Boeing 787-9,Family Leisure,Economy Class,Manchester to Kuala Lumpur via London,October 2018
1074,,Solo Leisure,Economy Class,London to Dusseldorf,January 2019
1075,Boeing 787,Solo Leisure,Business Class,London to Seoul,June 2019
1076,A380,Solo Leisure,Economy Class,London to Vancouver,June 2019
1077,,Solo Leisure,Economy Class,Newcastle to Delhi via London,June 2019
1078,Boeing 747,Business,Business Class,Miami to Delhi via London Heathrow,June 2019
1079,,Solo Leisure,Economy Class,London to Sydney via Singapore,June 2019
1080,,Couple Leisure,Economy Class,Phoenix to Amsterdam via London,May 2019
1081,Boeing 777 / 747,Solo Leisure,Economy Class,Tel Aviv to New York via London,June 2019
1082,A319 / Boeing 777,Solo Leisure,Economy Class,Belfast  to Atlanta via London,April 2019
1083,,Family Leisure,Economy Class,Buenos Aires to London,June 2019
1084,Boeing 787-9,Business,Business Class,London to Nashville,May 2019
1085,B747-400 in retro,Solo Leisure,First Class,London to Washington,June 2019
1086,,Couple Leisure,Economy Class,Newcastle to Berlin via London,June 2019
1087,,Family Leisure,Economy Class,Gatwick to Madrid,May 2019
1088,,Couple Leisure,Economy Class,London to Tampa,May 2019
1089,,Business,Economy Class,London to Bengaluru,June 2019
1090,,Couple Leisure,First Class,London to Delhi,May 2019
1091,,Couple Leisure,Economy Class,London Heathrow to Dubai,May 2019
1092,Boeing 747,Couple Leisure,Economy Class,London to Seattle,May 2019
1093,,Couple Leisure,Economy Class,Johannesburg to London,May 2019
1094,A319/A320,Business,Economy Class,London to Milan,May 2019
1095,B737-400 / A380 / A319,Couple Leisure,Business Class,Durban to Leeds via Johannesburg / Heathrow,May 2019
1096,Boeing 787,Couple Leisure,Business Class,London Heathrow to Los Angeles,May 2019
1097,Boeing 744,Couple Leisure,Business Class,Cape Town to London Heathrow,May 2019
1098,A321,Business,Economy Class,Sofia to Belfast via London,May 2019
1099,Boeing 777-200,Couple Leisure,Economy Class,Lima to Gatwick,May 2019
1100,,Solo Leisure,Economy Class,Inverness to Auckland via Singapore,May 2019
1101,,Solo Leisure,Business Class,Heathrow to Singapore,May 2019
1102,,Business,Economy Class,Lyon to London,May 2019
1103,Boeing 777-200,Couple Leisure,Economy Class,Gatwick to Barbados,May 2019
1104,,Couple Leisure,Economy Class,Marseille to London,May 2019
1105,,Family Leisure,Business Class,London to Chennai,May 2019
1106,A320,Solo Leisure,Economy Class,Gatwick to Malaga,May 2019
1107,A380 / Boeing 777,Solo Leisure,Economy Class,Boston to London Heathrow,May 2019
1108,Boeing 747-400,Couple Leisure,First Class,London to Cape Town,May 2019
1109,,Couple Leisure,Economy Class,New York to Heathrow,May 2019
1110,A321,Business,Economy Class,London to Aberdeen,May 2019
1111,A319,Business,Business Class,Gatwick to Dubrovnik,May 2019
1112,,Couple Leisure,Premium Economy,London to Shanghai,March 2019
1113,A320,Business,Business Class,Faro to Heathrow,May 2019
1114,A380,Couple Leisure,Economy Class,Vancouver to London,May 2019
1115,,Couple Leisure,Business Class,Gatwick to Tenerife,May 2019
1116,Boeing 747 400,Business,First Class,Washington to London,May 2019
1117,Embraer,Solo Leisure,Economy Class,Rome Fiumicino to London City,May 2019
1118,Boeing 777-200,Business,Business Class,London to Shanghai,April 2019
1119,,Couple Leisure,Economy Class,Seattle to London,May 2019
1120,,Business,Economy Class,London City to Zurich,April 2019
1121,,Couple Leisure,Economy Class,Bucharest to London,April 2019
1122,Boeing 787,Solo Leisure,Business Class,London to Calgary,December 2018
1123,Boeing 747,Couple Leisure,Business Class,Vancouver to London,April 2019
1124,,Couple Leisure,Business Class,Miami to London Heathrow,April 2019
1125,,Solo Leisure,Economy Class,Houston to London Heathrow,April 2019
1126,,Business,Business Class,London to Delhi,April 2019
1127,,Business,Economy Class,Bucharest to London,April 2019
1128,Boeing 777-200/300,Couple Leisure,Economy Class,London Heathrow to Bengaluru,April 2019
1129,,Business,Business Class,Madrid to London,April 2019
1130,A319,Solo Leisure,Economy Class,Dublin to London Heathrow,April 2019
1131,Boeing 747-400,Business,Business Class,London to Seattle,April 2019
1132,A320,Family Leisure,Business Class,London to Gibraltar,April 2019
1133,Boeing 747,Business,Business Class,London to Boston,March 2019
1134,Boeing 787-9,Family Leisure,Business Class,London to Doha,April 2019
1135,Boeing 747,Couple Leisure,Economy Class,London Heathrow to Houston,April 2019
1136,A320,Business,Business Class,Larnaca to London,March 2019
1137,,Solo Leisure,Economy Class,Zurich to London,April 2019
1138,,Solo Leisure,Economy Class,London to Pisa,April 2019
1139,Boeing 787-9,Couple Leisure,First Class,London to Tokyo Narita,November 2018
1140,,Couple Leisure,Business Class,Bridgetown to Gatwick,March 2019
1141,777,Couple Leisure,Economy Class,St Lucia to Gatwick,April 2019
1142,A380,Solo Leisure,Economy Class,Chicago to London,April 2019
1143,,Family Leisure,Economy Class,London to Bangalore,September 2018
1144,A320/B788,Solo Leisure,Economy Class,Hamburg to Abu Dhabi via Heathrow,April 2019
1145,,Couple Leisure,Economy Class,London to Seville,March 2019
1146,Boeing 787-9 / A319,Family Leisure,Business Class,Doha to Paris via London,March 2019
1147,A320 Neo,Couple Leisure,Business Class,Madrid to London,March 2019
1148,,Couple Leisure,Economy Class,Tokyo to London,March 2019
1149,Boeing 747-400,Solo Leisure,Economy Class,London to Vancouver,March 2019
1150,Boeing 777,Solo Leisure,First Class,London to Mumbai,March 2019
1151,Boeing 777,Business,First Class,London to Chicago,March 2019
1152,,Solo Leisure,Economy Class,Leeds Bradford to Las Vegas via Heathrow,September 2018
1153,,Solo Leisure,First Class,Dallas to London Heathrow,March 2019
1154,,Couple Leisure,Economy Class,Tenerife to Heathrow,March 2019
1155,A320,Business,Economy Class,London Heathrow to Larnaca Cyprus,March 2019
1156,Boeing 787,Couple Leisure,Business Class,Los Angeles to London,March 2019
1157,,Solo Leisure,Economy Class,London to Phoenix,March 2019
1158,,Business,Business Class,San Francisco to London,April 2018
1159,A321,Solo Leisure,Economy Class,Rome to London,March 2019
1160,A319,Business,Economy Class,Cologne to Gatwick,March 2019
1161,Boeing 777,Couple Leisure,Economy Class,Tampa to Gatwick,March 2019
1162,A320,Business,Economy Class,London Heathrow to Madrid,March 2019
1163,Boeing 777,Couple Leisure,Business Class,Gatwick to St Lucia,February 2019
1164,Boeing 777,Business,Economy Class,London to Austin,February 2019
1165,A320,Family Leisure,Business Class,London to Pisa,March 2019
1166,B777,Couple Leisure,Economy Class,Edinburgh to Boston via London,March 2019
1167,Boeing 777,Couple Leisure,Economy Class,Gatwick to Mauritius,February 2019
1168,,Family Leisure,Economy Class,Heathrow to New York,February 2019
1169,,Solo Leisure,Economy Class,Gatwick to Cape Town,February 2019
1170,,Business,Business Class,New York to Venice via London,February 2019
1171,B747-400,Business,Business Class,Chicago to London Heathrow,February 2019
1172,Boeing 747-400,Business,First Class,London to Chicago,February 2019
1173,,Family Leisure,Economy Class,Prague to London Heathrow,February 2019
1174,,Solo Leisure,Economy Class,London City to Florence,February 2019
1175,A380,Business,Business Class,London to Johannesburg,December 2018
1176,Boeing 787-9,Business,Economy Class,Doha to London Heathrow,February 2019
1177,,Solo Leisure,Premium Economy,Miami to Tel Aviv via London,October 2018
1178,Boeing 787-9,Business,Premium Economy,London to Seoul,February 2019
1179,Boeing 747-400,Family Leisure,Premium Economy,London to New York JFK,February 2019
1180,,Couple Leisure,Business Class,San Diego to London,February 2019
1181,Boeing 777,Business,Business Class,Gatwick to St Lucia,February 2019
1182,,Solo Leisure,Economy Class,London to Chennai,March 2018
1183,,Business,Economy Class,London to Tampa,January 2019
1184,Boeing 787,Couple Leisure,Economy Class,Baltimore to London Heathrow,February 2019
1185,,Solo Leisure,First Class,Bridgetown to Gatwick,November 2018
1186,A320,Couple Leisure,Economy Class,London to Athens,December 2018
1187,,Solo Leisure,Economy Class,Amsterdam to London,February 2019
1188,Boeing 787,Couple Leisure,Premium Economy,New Orleans to London,September 2018
1189,Boeing 787-9,Couple Leisure,Business Class,Tokyo Narita to London Heathrow,January 2019
1190,Boeing 777,Couple Leisure,First Class,London to Tokyo Haneda,January 2019
1191,,Solo Leisure,Economy Class,London to Billund,February 2019
1192,,Business,Premium Economy,San Diego to Frankfurt via London,February 2019
1193,A320,Couple Leisure,Economy Class,Edinburgh to London Gatwick,January 2019
1194,,Business,Business Class,Geneva to Philadelphia via London,February 2019
1195,A320,Family Leisure,Economy Class,London Heathrow to Paris CDG,November 2018
1196,A380,Family Leisure,Business Class,Johannesburg to London,February 2019
1197,,Solo Leisure,Economy Class,Edinburgh to Bangalore via Heathrow,February 2019
1198,A380 / A319,Solo Leisure,Economy Class,Berlin to Johannesburg via London,March 2018
1199,Boeing 777,Family Leisure,Economy Class,New York JFK to London Heathrow,August 2018
1200,,Business,Economy Class,London to Milan,November 2018
1201,,Couple Leisure,Economy Class,New York to London via Geneva,January 2019
1202,A380,Couple Leisure,First Class,Johannesburg to London,January 2019
1203,A380,Couple Leisure,Business Class,London to Johannesburg,January 2019
1204,A380,Family Leisure,Business Class,London to Johannesburg,January 2019
1205,A320,Business,Business Class,London to Dublin,January 2019
1206,Boeing 777,Couple Leisure,Premium Economy,Bermuda to Gatwick,January 2019
1207,,Business,Business Class,Kuala Lumpur to Miami via London,January 2019
1208,A321-200,Solo Leisure,Economy Class,Zurich to Heathrow,January 2019
1209,A380,Solo Leisure,Premium Economy,Miami to London,January 2019
1210,A321,Solo Leisure,Economy Class,Copenhagen to Amsterdam via London Heathrow,February 2018
1211,Boeing 777-200,Couple Leisure,Premium Economy,Antigua to Gatwick,January 2019
1212,Boeing 787,Solo Leisure,Economy Class,Bucharest to London Heathrow to Los Angeles,January 2019
1213,Boeing 747,Business,Business Class,London to Miami,January 2019
1214,Boeing 787 Dreamliner,Business,Premium Economy,London to Calgary,June 2018
1215,Boeing 787,Business,Premium Economy,Calgary to London,June 2018
1216,Boeing 777-200,Business,Premium Economy,Bangalore to London,January 2019
1217,,Solo Leisure,Economy Class,Barcelona to New York via London,November 2018
1218,,Solo Leisure,Economy Class,Gatwick to Fort Lauderdale,December 2018
1219,,Couple Leisure,Economy Class,London to Bologna,December 2018
1220,,Couple Leisure,Economy Class,Venice to London City,October 2018
1221,777,Couple Leisure,Economy Class,San Francisco to London,January 2019
1222,Boeing 747,Solo Leisure,Economy Class,Heathrow to Vancouver,October 2018
1223,A320,Solo Leisure,Economy Class,London to Bucharest,January 2019
1224,A319,Business,Economy Class,Stuttgart to London,October 2018
1225,Boeing 777-200,Couple Leisure,Economy Class,London to Boston,December 2018
1226,Boeing 747-400,Couple Leisure,Economy Class,Boston to London,December 2018
1227,Airbus A320,Couple Leisure,Economy Class,London to Athens,December 2018
1228,A380,Couple Leisure,Economy Class,London to Johannesburg,January 2019
1229,Boeing 787-9 / 777,Solo Leisure,Premium Economy,Newark to Bangalore via London,December 2018
1230,,Solo Leisure,Economy Class,London to Berlin,December 2018
1231,Boeing 777,Solo Leisure,Economy Class,London to Mumbai,December 2018
1232,,Solo Leisure,Premium Economy,Athens to Los Angeles via London,December 2018
1233,Boeing 777,Family Leisure,Economy Class,Heathrow to Sydney via Singapore,December 2018
1234,A319,Solo Leisure,Economy Class,Leeds Bradford to London Heathrow,December 2018
1235,A320,Solo Leisure,Economy Class,Gatwick to Tenerife,December 2018
1236,,Couple Leisure,Premium Economy,Denver to Paris via London,December 2018
1237,A380,Couple Leisure,Business Class,Johannesburg to London,November 2018
1238,Boeing 787,Solo Leisure,Economy Class,London to Kuala Lumpur,December 2018
1239,Boeing 747,Solo Leisure,Economy Class,Los Angeles to London Heathrow,December 2018
1240,,Business,Economy Class,Seattle to London,November 2018
1241,Boeing 777-200,Couple Leisure,First Class,Gatwick to Barbados,December 2018
1242,Boeing 787-9,Solo Leisure,First Class,Moscow to London,December 2018
1243,,Solo Leisure,Economy Class,Johannesburg to London,December 2018
1244,Boeing 777,Couple Leisure,Business Class,Bridgetown to Gatwick,December 2018
1245,A319 / Boeing 777,Couple Leisure,Economy Class,Glasgow to New York via London,December 2018
1246,Boeing 777,Business,Business Class,Sydney to London via Singapore,December 2018
1247,A380,Couple Leisure,First Class,Johannesburg to London,December 2018
1248,Boeing 777,Business,Business Class,Antigua to Gatwick,December 2018
1249,Boeing 777,Couple Leisure,First Class,Gatwick to Barbados,December 2018
1250,Boeing 747-400,Couple Leisure,Business Class,Cape Town to London,November 2018
1251,A320,Couple Leisure,Economy Class,Bucharest to London,December 2018
1252,,Business,Economy Class,Kuala Lumpur to Mexico City via London,December 2018
1253,Boeing 747-400,Family Leisure,Economy Class,Miami to London,December 2018
1254,,Solo Leisure,Premium Economy,London Gatwick to Tampa,November 2018
1255,,Couple Leisure,Economy Class,Bordeaux to London Gatwick,July 2018
1256,,Family Leisure,Economy Class,Los Angeles to Rome via London,October 2018
1257,,Family Leisure,Economy Class,Gatwick to Las Vegas,December 2018
1258,Boeing 777,Couple Leisure,Premium Economy,Nassau to London,November 2018
1259,Boeing 747,Business,Business Class,Phoenix to Accra via London,November 2018
1260,,Solo Leisure,Economy Class,Manchester to London,November 2018
1261,Boeing 777,Solo Leisure,Economy Class,San Diego to Hannover via London,November 2018
1262,,Business,Economy Class,London Heathrow to Stuttgart,November 2018
1263,A380,Couple Leisure,First Class,London to Johannesburg,November 2018
1264,,Business,Business Class,London to Dubai,November 2018
1265,Boeing 747-400,Family Leisure,Economy Class,Vancouver to London Heathrow,November 2018
1266,,Solo Leisure,Economy Class,Boston to Nairobi via London,October 2018
1267,Boeing 747,Solo Leisure,Premium Economy,Basel to San Fransisco via Heathrow,November 2018
1268,,Solo Leisure,Economy Class,London to Lyon,November 2018
1269,,Business,Economy Class,London to Boston,November 2018
1270,A320,Solo Leisure,Business Class,Stockholm to London,November 2018
1271,,Business,Economy Class,Amsterdam to London,November 2018
1272,Boeing 777-200,Couple Leisure,Economy Class,Buenos Aires to London,November 2018
1273,Boeing 777,Business,Business Class,Riyadh to London,November 2018
1274,A319,Solo Leisure,Economy Class,Aberdeen to London,November 2018
1275,,Family Leisure,Economy Class,Singapore to Sydney,November 2018
1276,A320,Family Leisure,Economy Class,London to Budapest,November 2018
1277,A321,Solo Leisure,Economy Class,London to Athens,October 2018
1278,Boeing 777-200,Solo Leisure,Business Class,London to Bangkok,October 2018
1279,A340-300,Solo Leisure,Economy Class,Abu Dhabi to London,October 2018
1280,Boeing 777,Business,Business Class,Gatwick to Orlando,October 2018
1281,A319 / Boeing 747,Solo Leisure,Business Class,Newcastle to Las Vegas via London,October 2018
1282,A320,Solo Leisure,Economy Class,St Petersburg to London,October 2018
1283,Boeing 787-9,Business,Business Class,London to Philadelphia,October 2018
1284,Boeing 777-200,Business,Business Class,Madrid to London,October 2018
1285,A321,Family Leisure,Economy Class,London to Munich,October 2018
1286,Boeing 747-400,Couple Leisure,Economy Class,London to Cape Town,October 2018
1287,A321,Family Leisure,Economy Class,Munich to London Heathrow,October 2018
1288,A319 / Boeing 747-400,Solo Leisure,First Class,Manchester to Philadelphia via London,October 2018
1289,Boieng 777-200,Business,Economy Class,Bangkok to London,October 2018
1290,Boeing 777,Solo Leisure,Economy Class,London to Toronto,October 2018
1291,A320,Business,Economy Class,London to Vienna,October 2018
1292,A380,Business,Business Class,Johannesburg to London,October 2018
1293,Boeing 777-300ER,Solo Leisure,Business Class,Singapore to London Heathrow,September 2018
1294,Boeing 747-400,Couple Leisure,Business Class,London to Los Angeles,August 2018
1295,Boeing 747,Solo Leisure,Premium Economy,Miami to London Heathrow,September 2018
1296,,Couple Leisure,Business Class,London Heathrow to Milan Malpensa,October 2018
1297,,Couple Leisure,First Class,Calgary to Rome via London,September 2018
1298,,Solo Leisure,Economy Class,London to Bangkok,March 2018
1299,Boeing 747-400,Family Leisure,Economy Class,London Heathrow to Miami,August 2018
1300,A380,Solo Leisure,Economy Class,London to Singapore,September 2018
1301,,Solo Leisure,Economy Class,Dublin to London,September 2018
1302,A321,Family Leisure,Business Class,London to Pisa,September 2018
1303,,Family Leisure,Economy Class,Prague to Heathrow,August 2018
